VDS,Id; VSB=0,Id: VSB=-2,Id: VSB=-5
0.5,0.0000006,0,0
1,0.0003045,0.000001,0
1.5,0.0017754,0.000105,0.000001
2,0.0043835,0.001352,0.0000248
2.5,0.00795537,0.003897,0.0010435
3,0.012325,0.007488,0.003506
3.5,0.01736,0.011925,0.007097
4,0.02288,0.017073,0.011585
