$V_{DS}$ (V),NMOS Current (A),PMOS Current (A)
2,0.008185,0.00284
2.5,0.0083,0.002874
3,0.008386,0.002905
3.5,0.008441,0.002934
4,0.008513,0.002961
4.5,0.008577,0.002985
5,0.008629,0.00301
5.5,0.008678,0.0030333
6,0.008723,0.0030555
